DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
980.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750601.25,
990.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750611.25,
1000.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750621.25,
1010.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750631.25,
1020.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750641.25,
1030.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750651.25,
1040.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750661.25,
1050.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750671.25,
1060.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750681.25,
1070.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750691.25,
1080.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750701.25,
1090.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750711.25,
1100.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750721.25,
1110.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750731.25,
1120.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750741.25,
1130.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750751.25,
1140.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750761.25,
1150.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750771.25,
1160.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750781.25,
1170.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750791.25,
1180.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750801.25,
1190.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750811.25,
1200.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750821.25,
1210.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750831.25,
1220.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750841.25,
1230.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750851.25,
1240.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750861.25,
1250.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750871.25,
1260.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750881.25,
1270.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750891.25,
1280.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750901.25,
1290.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750911.25,
1300.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750921.25,
1310.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750931.25,
1320.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750941.25,
1330.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750951.25,
1340.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750961.25,
1350.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750971.25,
1360.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750981.25,
1370.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750991.25,
